start_date,cols
1990-01-01,USFIRE
1990-01-01,USGOOD
1990-01-01,USGOVT
1990-01-01,USMINE
1990-01-01,USPRIV
1990-01-01,USSERV
1990-01-01,USTPU
1990-01-01,USTRADE
1990-01-01,USWTRADE
1990-01-01,WASCUR
2000-01-01,AAA
2000-01-01,AHETPI
2000-01-01,ATNHPIUS16984Q
2000-01-01,ATNHPIUS19430Q
2000-01-01,ATNHPIUS23224Q
2000-01-01,ATNHPIUS35154Q
2000-01-01,ATNHPIUS39150Q
2000-01-01,AWHI
2000-01-01,AWHMAN
2000-01-01,AWHNONAG
2000-01-01,AWOTMAN
2000-01-01,BAA
2000-01-01,BOGZ1FA106300075Q
2000-01-01,BOGZ1FL782100005Q
2000-01-01,BOGZ1FU106300075Q
2000-01-01,BOPGEXP
2000-01-01,BOPGIMP
2000-01-01,BOPGSTB
2000-01-01,BOPGTB
2000-01-01,BOPSEXP
2000-01-01,BOPSIMP
2000-01-01,BOPSTB
2000-01-01,BORROW
2000-01-01,CBI
2000-01-01,CBIC1
2000-01-01,CCFC
2000-01-01,CE16OV
2000-01-01,CIVA
2000-01-01,CIVPART
2000-01-01,CLF16OV
2000-01-01,CMDEBT
2000-01-01,CNCF
2000-01-01,CNP16OV
2000-01-01,COE
2000-01-01,COFC
2000-01-01,COMPMS
2000-01-01,COMPNFB
2000-01-01,COMPRMS
2000-01-01,COMPRNFB
2000-01-01,CP
2000-01-01,CPATAX
2000-01-01,CPF1M
2000-01-01,CPF2M
2000-01-01,CPF3M
2000-01-01,CPN1M
2000-01-01,CPN2M
2000-01-01,CPN3M
2000-01-01,CPROFIT
2000-01-01,CURRCIR
2000-01-01,CURRDD
2000-01-01,CURRNS
2000-01-01,CURRSL
2000-01-01,DCBCCA
2000-01-01,DEMDEPNS
2000-01-01,DEMDEPSL
2000-01-01,DGI
2000-01-01,DGIC96
2000-01-01,DIVIDEND
2000-01-01,DMANEMP
2000-01-01,DPI
2000-01-01,DPIC96
2000-01-01,DSPI
2000-01-01,DSPIC96
2000-01-01,EMRATIO
2000-01-01,EXBZUS
2000-01-01,EXCAUS
2000-01-01,EXCHUS
2000-01-01,EXDNUS
2000-01-01,EXHKUS
2000-01-01,EXINUS
2000-01-01,EXJPUS
2000-01-01,EXKOUS
2000-01-01,EXMAUS
2000-01-01,EXMXUS
2000-01-01,EXNOUS
2000-01-01,EXPCA
2000-01-01,EXPFR
2000-01-01,EXPGE
2000-01-01,EXPJP
2000-01-01,EXPMX
2000-01-01,EXPUK
2000-01-01,EXSDUS
2000-01-01,EXSFUS
2000-01-01,EXSIUS
2000-01-01,EXSLUS
2000-01-01,EXSZUS
2000-01-01,EXTAUS
2000-01-01,EXTHUS
2000-01-01,EXUSAL
2000-01-01,EXUSEU
2000-01-01,EXUSNZ
2000-01-01,EXUSUK
2000-01-01,EXVZUS
2000-01-01,FDEFX
2000-01-01,FDHBATN
2000-01-01,FDHBFIN
2000-01-01,FDHBPIN
2000-01-01,FEDFUNDS
2000-01-01,FF
2000-01-01,FGCE
2000-01-01,FGCEC1
2000-01-01,FGDEF
2000-01-01,FGEXPND
2000-01-01,FGRECPT
2000-01-01,FGSL
2000-01-01,FINSAL
2000-01-01,FINSLC1
2000-01-01,FLEXSC
2000-01-01,FNDEFX
2000-01-01,FPI
2000-01-01,FPIC1
2000-01-01,FSDP
2000-01-01,FYFR
2000-01-01,FYFSD
2000-01-01,FYGFD
2000-01-01,FYGFDPUB
2000-01-01,FYGFDPUN
2000-01-01,FYOINT
2000-01-01,FYONET
2000-01-01,GCE
2000-01-01,GCEC1
2000-01-01,GDB
2000-01-01,GDP
2000-01-01,GDPC1
2000-01-01,GDPCTPI
2000-01-01,GDPDEF
2000-01-01,GDPPOT
2000-01-01,GEXPND
2000-01-01,GFDEBTN
2000-01-01,GGSAVE
2000-01-01,GNP
2000-01-01,GNPC96
2000-01-01,GNPCTPI
2000-01-01,GNPDEF
2000-01-01,GPDI
2000-01-01,GPDIC1
2000-01-01,GPDICTPI
2000-01-01,GPSAVE
2000-01-01,GRECPT
2000-01-01,GS1
2000-01-01,GS10
2000-01-01,GS2
2000-01-01,GS20
2000-01-01,GS3
2000-01-01,GS30
2000-01-01,GS3M
2000-01-01,GS5
2000-01-01,GS6M
2000-01-01,GS7
2000-01-01,GSAVE
2000-01-01,HCOMPBS
2000-01-01,HOABS
2000-01-01,HOAMS
2000-01-01,HOANBS
2000-01-01,HSN1F
2000-01-01,IMPCA
2000-01-01,IMPFR
2000-01-01,IMPGE
2000-01-01,IMPJP
2000-01-01,IMPMX
2000-01-01,IMPUK
2000-01-01,INVEST
2000-01-01,IPDBS
2000-01-01,IPDNBS
2000-01-01,IRA
2000-01-01,JCXFE
2000-01-01,M1NS
2000-01-01,M1SL
2000-01-01,M2NS
2000-01-01,M2SL
2000-01-01,MANEMP
2000-01-01,MPRIME
2000-01-01,NDGI
2000-01-01,NDGIC96
2000-01-01,NDMANEMP
2000-01-01,NETFI
2000-01-01,NFCPATAX
2000-01-01,NICUR
2000-01-01,NONREVNS
2000-01-01,NONREVSL
2000-01-01,OPHMFG
2000-01-01,OPHNFB
2000-01-01,OPHPBS
2000-01-01,OTHSEC
2000-01-01,OUTBS
2000-01-01,OUTMS
2000-01-01,OUTNFB
2000-01-01,PAYEMS
2000-01-01,PCDG
2000-01-01,PCDGCC96
2000-01-01,PCE
2000-01-01,PCEC
2000-01-01,PCEC96
2000-01-01,PCECC96
2000-01-01,PCECTPI
2000-01-01,PCEDG
2000-01-01,PCEDGC96
2000-01-01,PCEND
2000-01-01,PCENDC96
2000-01-01,PCES
2000-01-01,PCESC96
2000-01-01,PCESV
2000-01-01,PCESVC96
2000-01-01,PCND
2000-01-01,PCNDGC96
2000-01-01,PI
